geography,year,category,households,value
Carlton,2024,Household type,Couple family without children,2778
Carlton,2024,Household type,Group household,3007
Carlton,2024,Household type,Lone person,6146
Carlton,2024,Household size,Not applicable,2
Carlton,2024,Household type,One-parent family,469
Carlton,2024,Household type,Other family,409
Carlton,2025,Structural Private Dwellings,Not applicable,13971
Carlton,2026,Household type,Other family,399
Carlton,2027,Household type,Couple family without children,2958
Carlton,2027,Household type,Lone person,6314
Carlton,2027,Structural Private Dwellings,Not applicable,14300
Carlton,2027,Household size,Not applicable,2
Carlton,2028,Household type,Couple family without children,3008
Carlton,2028,Household size,Not applicable,2
Carlton,2028,Household type,Other family,388
Carlton,2029,Household type,Couple family with children,899
Carlton,2029,Household size,Not applicable,2
Carlton,2029,Household type,One-parent family,478
Carlton,2030,Household type,Group household,3212
Carlton,2031,Household type,Couple family with children,926
Carlton,2031,Household type,Lone person,6622
Carlton,2031,Household size,Not applicable,2
Carlton,2032,Household type,Couple family without children,3143
Carlton,2032,Household type,Lone person,6683
Carlton,2033,Household type,Couple family with children,956
Carlton,2034,Household type,Couple family with children,963
Carlton,2034,Household type,Group household,3290
Carlton,2035,Household type,Group household,3310
Carlton,2035,Household type,Lone person,6697
Carlton,2035,Structural Private Dwellings,Not applicable,15189
Carlton,2035,Household type,One-parent family,495
Carlton,2035,Household type,Other family,355
Carlton,2036,Household type,Couple family without children,3156
Carlton,2036,Household type,Group household,3311
Carlton,2036,Structural Private Dwellings,Not applicable,15206
Carlton,2037,Household type,Couple family without children,3145
Carlton,2037,Household type,Lone person,6702
Carlton,2038,Household type,Couple family with children,1007
Carlton,2038,Household type,Couple family without children,3136
Carlton,2038,Household type,Group household,3314
Carlton,2038,Structural Private Dwellings,Not applicable,15238
Carlton,2038,Household type,One-parent family,511
Carlton,2039,Structural Private Dwellings,Not applicable,15254
Carlton,2040,Household type,Couple family with children,1027
Carlton,2040,Household type,Couple family without children,3120
Carlton,2040,Household size,Not applicable,2
Carlton,2041,Household type,Couple family with children,1038
Carlton,2041,Household type,Couple family without children,3101
Carlton,2041,Household type,Group household,3302
Carlton,2041,Structural Private Dwellings,Not applicable,15288
Carlton,2041,Household type,One-parent family,528
Carlton,2041,Household type,Other family,365
Carlton,2042,Household type,Couple family with children,1050
Carlton,2042,Household type,Group household,3289
Carlton,2042,Household size,Not applicable,2
Carlton,2042,Household type,Other family,380
Carlton,2043,Household type,Couple family without children,3076
Carlton,2043,Household type,Group household,3272
Carlton,2043,Household type,Lone person,6731
Docklands,2023,Household type,Lone person,2742
Docklands,2023,Household type,One-parent family,370
Docklands,2024,Household type,One-parent family,396
Docklands,2025,Household type,Couple family with children,1517
Docklands,2025,Household type,Group household,1295
Docklands,2025,Household type,One-parent family,390
Docklands,2026,Household type,Other family,194
Docklands,2027,Household type,Group household,1319
Docklands,2027,Household type,Lone person,3000
Docklands,2027,Household size,Not applicable,2
Docklands,2027,Household type,One-parent family,390
Docklands,2027,Household type,Other family,191
Docklands,2028,Household type,Couple family without children,4162
Docklands,2028,Household type,Group household,1317
Docklands,2028,Household type,Other family,186
Docklands,2029,Household type,Couple family without children,4211
Docklands,2029,Household type,Lone person,2970
Docklands,2029,Household type,Other family,182
Docklands,2030,Household type,Couple family with children,1699
Docklands,2030,Household type,Lone person,2957
Docklands,2030,Structural Private Dwellings,Not applicable,11136
Docklands,2030,Household type,One-parent family,383
Docklands,2030,Household type,Other family,179
Docklands,2031,Household type,Other family,177
Docklands,2032,Household type,Couple family with children,1758
Docklands,2032,Household type,Group household,1336
Docklands,2032,Structural Private Dwellings,Not applicable,11243
Docklands,2032,Household size,Not applicable,2
