sale_year,small_area,type,median_price,transaction_count
2000,Docklands,Residential Apartment,487300.0,556
2000,Parkville,House/Townhouse,516000.0,42
2000,Southbank,Residential Apartment,370500.0,901
2001,Carlton,House/Townhouse,381000.0,113
2001,Melbourne (CBD),House/Townhouse,,4
2001,North Melbourne,House/Townhouse,325500.0,169
2001,North Melbourne,Residential Apartment,270000.0,271
2001,Parkville,House/Townhouse,354000.0,36
2001,South Yarra,House/Townhouse,800000.0,46
2001,West Melbourne (Residential),House/Townhouse,323000.0,50
2002,Kensington,House/Townhouse,342050.0,197
2002,Melbourne (CBD),House/Townhouse,,4
2002,Melbourne (Remainder),Residential Apartment,367562.0,44
2002,North Melbourne,House/Townhouse,351000.0,148
2002,North Melbourne,Residential Apartment,307500.0,224
2002,Parkville,Residential Apartment,247000.0,88
2002,South Yarra,House/Townhouse,870000.0,43
2002,South Yarra,Residential Apartment,330000.0,197
2002,West Melbourne (Residential),House/Townhouse,422000.0,69
2002,West Melbourne (Residential),Residential Apartment,335000.0,104
2003,Kensington,Residential Apartment,0.0,288
2003,Melbourne (CBD),Residential Apartment,298200.0,1367
2003,Melbourne (Remainder),Residential Apartment,355000.0,39
2003,Parkville,House/Townhouse,713500.0,32
2003,West Melbourne (Residential),House/Townhouse,375000.0,72
2004,Carlton,Residential Apartment,315000.0,201
2004,Docklands,Residential Apartment,445000.0,252
2004,Kensington,House/Townhouse,355000.0,194
2004,Melbourne (Remainder),Residential Apartment,405000.0,67
2004,Southbank,Residential Apartment,345000.0,445
2005,Carlton,House/Townhouse,440000.0,87
2005,Kensington,House/Townhouse,400000.0,152
2005,Kensington,Residential Apartment,300750.0,96
2005,Melbourne (CBD),Residential Apartment,317500.0,1119
2005,South Yarra,Residential Apartment,294444.0,139
2005,Southbank,Residential Apartment,370000.0,535
2005,West Melbourne (Residential),Residential Apartment,365000.0,73
2006,East Melbourne,House/Townhouse,1150000.0,59
2006,Melbourne (Remainder),Residential Apartment,455000.0,83
2006,North Melbourne,House/Townhouse,463500.0,138
2006,Parkville,House/Townhouse,812500.0,68
2006,South Yarra,House/Townhouse,1081500.0,56
2006,Southbank,Residential Apartment,422000.0,817
2006,West Melbourne (Residential),House/Townhouse,530000.0,33
2007,East Melbourne,House/Townhouse,1562500.0,64
2007,Kensington,House/Townhouse,502000.0,191
2007,Parkville,House/Townhouse,752500.0,132
2007,South Yarra,Residential Apartment,482500.0,170
2007,Southbank,House/Townhouse,,3
2008,Carlton,House/Townhouse,490000.0,72
2008,Melbourne (Remainder),Residential Apartment,492500.0,124
2008,Parkville,Residential Apartment,385500.0,62
2008,South Yarra,House/Townhouse,1917500.0,30
2008,South Yarra,Residential Apartment,485850.0,118
2009,Carlton,House/Townhouse,607500.0,66
2009,Carlton,Residential Apartment,460000.0,255
2009,Kensington,House/Townhouse,550000.0,221
2009,North Melbourne,House/Townhouse,337000.0,179
2009,North Melbourne,Residential Apartment,415000.0,392
2009,Parkville,House/Townhouse,675000.0,53
2010,Kensington,House/Townhouse,640500.0,218
2010,Melbourne (CBD),House/Townhouse,,4
2010,North Melbourne,House/Townhouse,720000.0,123
2010,Southbank,House/Townhouse,14300000.0,33
2011,Carlton,Residential Apartment,520000.0,625
2011,Docklands,House/Townhouse,2302000.0,17
2011,East Melbourne,House/Townhouse,1352500.0,30
2011,Melbourne (Remainder),Residential Apartment,631250.0,68
2011,Parkville,House/Townhouse,975000.0,34
2011,South Yarra,Residential Apartment,535000.0,90
2011,West Melbourne (Residential),Residential Apartment,481000.0,301
2012,Docklands,Residential Apartment,580000.0,590
2012,Melbourne (CBD),House/Townhouse,,2
2012,Parkville,House/Townhouse,1180000.0,25
2012,South Yarra,House/Townhouse,1650000.0,30
2012,South Yarra,Residential Apartment,530000.0,113
2013,Carlton,House/Townhouse,870000.0,82
2013,Docklands,Residential Apartment,619500.0,800
2013,East Melbourne,House/Townhouse,1850000.0,49
2013,Kensington,House/Townhouse,663370.0,211
2013,Melbourne (CBD),Residential Apartment,495000.0,2915
2013,North Melbourne,House/Townhouse,681000.0,143
2013,North Melbourne,Residential Apartment,487500.0,619
2013,South Yarra,House/Townhouse,1735000.0,24
2013,West Melbourne (Residential),House/Townhouse,933000.0,35
2014,East Melbourne,Residential Apartment,603500.0,178
2014,Kensington,House/Townhouse,662000.0,187
2014,Kensington,Residential Apartment,415000.0,136
2014,Melbourne (CBD),House/Townhouse,,4
2014,North Melbourne,House/Townhouse,800000.0,92
2014,North Melbourne,Residential Apartment,520000.0,619
2014,South Yarra,House/Townhouse,2605000.0,36
2014,West Melbourne (Residential),Residential Apartment,460000.0,380
2014,NA,House/Townhouse,,10
2015,Carlton,House/Townhouse,952500.0,86
2015,North Melbourne,Residential Apartment,502750.0,294
2015,Parkville,Residential Apartment,478750.0,64
2015,South Yarra,Residential Apartment,545000.0,129
2015,Southbank,Residential Apartment,540000.0,799
2015,NA,Residential Apartment,508000.0,24
2016,Carlton,Residential Apartment,508000.0,162
2016,Docklands,House/Townhouse,,5
2016,North Melbourne,House/Townhouse,861000.0,87
2016,South Yarra,Residential Apartment,555000.0,88
2016,West Melbourne (Residential),Residential Apartment,475000.0,115
2016,NA,Residential Apartment,,1
2000,Kensington,Residential Apartment,232500.0,46
2000,North Melbourne,Residential Apartment,172500.0,196
2000,West Melbourne (Residential),Residential Apartment,240300.0,66
2001,Carlton,Residential Apartment,273000.0,366
2001,Docklands,Residential Apartment,525375.0,766
2001,Melbourne (Remainder),Residential Apartment,355000.0,63
2001,South Yarra,Residential Apartment,245750.0,187
2001,West Melbourne (Residential),Residential Apartment,292500.0,145
2002,Carlton,House/Townhouse,420000.0,108
2002,Docklands,Residential Apartment,502000.0,755
2002,Kensington,Residential Apartment,285000.0,121
2002,Melbourne (CBD),Residential Apartment,299500.0,1473
2003,Carlton,Residential Apartment,296500.0,225
2003,Docklands,Residential Apartment,1.0,849
2003,East Melbourne,Residential Apartment,410000.0,185
2003,Melbourne (CBD),House/Townhouse,0.0,27
2003,Southbank,Residential Apartment,393000.0,491
2003,West Melbourne (Residential),Residential Apartment,395000.0,181
2004,East Melbourne,House/Townhouse,745000.0,53
2004,Kensington,Residential Apartment,295500.0,118
2004,North Melbourne,House/Townhouse,370000.0,110
2005,Carlton,Residential Apartment,300000.0,170
2005,Docklands,Residential Apartment,480000.0,250
2005,East Melbourne,Residential Apartment,337500.0,172
2005,Melbourne (Remainder),Residential Apartment,361000.0,71
2005,North Melbourne,Residential Apartment,266000.0,164
2005,Parkville,Residential Apartment,295000.0,71
2006,Docklands,Residential Apartment,535450.0,427
2006,East Melbourne,Residential Apartment,354000.0,178
2006,Kensington,House/Townhouse,421000.0,143
2006,Melbourne (CBD),House/Townhouse,,2
2006,Melbourne (CBD),Residential Apartment,332000.0,1199
2006,North Melbourne,Residential Apartment,295000.0,158
2006,South Yarra,Residential Apartment,364000.0,134
2006,West Melbourne (Residential),Residential Apartment,380000.0,81
2007,Carlton,House/Townhouse,632500.0,108
2007,Carlton,Residential Apartment,395000.0,291
2007,Docklands,House/Townhouse,1532000.0,32
2007,Melbourne (Remainder),Residential Apartment,500000.0,153
2007,North Melbourne,Residential Apartment,335000.0,285
2007,West Melbourne (Residential),House/Townhouse,646000.0,48
2007,West Melbourne (Residential),Residential Apartment,435000.0,171
2008,Docklands,House/Townhouse,3260600.0,20
2008,Docklands,Residential Apartment,502000.0,654
2008,East Melbourne,House/Townhouse,1868397.5,30
2008,Kensington,House/Townhouse,493000.0,213
2008,Melbourne (CBD),House/Townhouse,,5
2008,North Melbourne,House/Townhouse,537500.0,134
2008,Parkville,House/Townhouse,590000.0,68
2009,Docklands,House/Townhouse,,3
2009,Docklands,Residential Apartment,541000.0,779
2009,Melbourne (CBD),Residential Apartment,395000.0,1863
2009,Parkville,Residential Apartment,400000.0,79
2009,Southbank,Residential Apartment,518800.0,1121
2009,West Melbourne (Residential),Residential Apartment,460000.0,108
2010,Carlton,Residential Apartment,430000.0,274
2010,East Melbourne,House/Townhouse,1575000.0,39
2010,Melbourne (Remainder),Residential Apartment,588000.0,68
2010,Parkville,House/Townhouse,1012500.0,32
2010,South Yarra,House/Townhouse,1890750.0,34
2010,South Yarra,Residential Apartment,480000.0,115
2010,West Melbourne (Residential),House/Townhouse,694000.0,50
2010,West Melbourne (Residential),Residential Apartment,502500.0,164
2011,Melbourne (CBD),House/Townhouse,,3
2011,North Melbourne,Residential Apartment,438000.0,208
2011,South Yarra,House/Townhouse,932500.0,32
2011,Southbank,House/Townhouse,,1
2011,West Melbourne (Residential),House/Townhouse,1032500.0,27
2012,East Melbourne,Residential Apartment,524000.0,148
2012,North Melbourne,Residential Apartment,431500.0,226
2012,West Melbourne (Residential),House/Townhouse,607500.0,42
2012,West Melbourne (Residential),Residential Apartment,419000.0,319
2013,Carlton,Residential Apartment,460500.0,534
2013,Docklands,House/Townhouse,,4
2013,Parkville,House/Townhouse,1012000.0,33
2013,Parkville,Residential Apartment,0.0,353
2013,Southbank,House/Townhouse,,3
2014,Carlton,House/Townhouse,876000.0,68
2014,Parkville,House/Townhouse,0.0,86
2014,Parkville,Residential Apartment,0.0,162
2014,Southbank,Residential Apartment,530000.0,995
2014,NA,Residential Apartment,501000.0,83
2015,Melbourne (CBD),House/Townhouse,,1
2015,Melbourne (CBD),Residential Apartment,479000.0,1559
2015,Southbank,House/Townhouse,,3
2015,NA,House/Townhouse,1825000.0,11
2016,East Melbourne,House/Townhouse,1940000.0,35
2016,East Melbourne,Residential Apartment,650000.0,129
2016,Melbourne (CBD),House/Townhouse,,2
2016,Melbourne (CBD),Residential Apartment,435000.0,1264
2016,North Melbourne,Residential Apartment,515000.0,231
2016,Parkville,House/Townhouse,1761250.0,32
2016,Parkville,Residential Apartment,500000.0,63
2016,South Yarra,House/Townhouse,2135000.0,34
2016,Southbank,Residential Apartment,565000.0,701
2000,Carlton,House/Townhouse,316250.0,116
2000,Carlton,Residential Apartment,220000.0,309
2000,East Melbourne,House/Townhouse,622500.0,42
2000,East Melbourne,Residential Apartment,295000.0,139
2000,Kensington,House/Townhouse,215250.0,258
2000,Melbourne (CBD),House/Townhouse,,3
2000,Melbourne (CBD),Residential Apartment,276000.0,1065
2000,Melbourne (Remainder),Residential Apartment,284500.0,57
2000,North Melbourne,House/Townhouse,280000.0,115
2000,Parkville,Residential Apartment,231300.0,168
2000,South Yarra,House/Townhouse,767500.0,39
2000,South Yarra,Residential Apartment,210000.0,157
2000,West Melbourne (Residential),House/Townhouse,322000.0,34
2001,East Melbourne,House/Townhouse,790000.0,42
2001,East Melbourne,Residential Apartment,320000.0,204
2001,Kensington,House/Townhouse,282750.0,315
2001,Kensington,Residential Apartment,270000.0,211
2001,Melbourne (CBD),Residential Apartment,307500.0,2293
2001,Parkville,Residential Apartment,256000.0,99
2001,Southbank,Residential Apartment,395000.0,1184
2001,NA,House/Townhouse,,4
2002,Carlton,Residential Apartment,349250.0,297
2002,East Melbourne,House/Townhouse,925000.0,50
2002,East Melbourne,Residential Apartment,399000.0,490
2002,Parkville,House/Townhouse,693750.0,31
2002,Southbank,Residential Apartment,460500.0,1095
2003,Carlton,House/Townhouse,477750.0,101
2003,East Melbourne,House/Townhouse,623975.0,28
2003,Kensington,House/Townhouse,358500.0,208
2003,North Melbourne,House/Townhouse,395000.0,125
2003,North Melbourne,Residential Apartment,298000.0,234
2003,Parkville,Residential Apartment,282500.0,75
2003,South Yarra,House/Townhouse,800000.0,37
2003,South Yarra,Residential Apartment,267500.0,158
2004,Carlton,House/Townhouse,410000.0,79
2004,East Melbourne,Residential Apartment,330000.0,166
2004,Melbourne (CBD),House/Townhouse,,2
2004,Melbourne (CBD),Residential Apartment,317775.0,923
2004,North Melbourne,Residential Apartment,310000.0,200
2004,Parkville,House/Townhouse,795000.0,56
2004,Parkville,Residential Apartment,280000.0,45
2004,South Yarra,House/Townhouse,1170000.0,41
2004,South Yarra,Residential Apartment,305000.0,126
2004,West Melbourne (Residential),House/Townhouse,375000.0,37
2004,West Melbourne (Residential),Residential Apartment,350000.0,74
2005,East Melbourne,House/Townhouse,785000.0,52
2005,Melbourne (CBD),House/Townhouse,,2
2005,North Melbourne,House/Townhouse,445000.0,156
2005,Parkville,House/Townhouse,845000.0,66
2005,South Yarra,House/Townhouse,870000.0,43
2005,West Melbourne (Residential),House/Townhouse,422500.0,42
2006,Carlton,House/Townhouse,445000.0,101
2006,Carlton,Residential Apartment,332500.0,208
2006,Kensington,Residential Apartment,296250.0,92
2006,Parkville,Residential Apartment,307775.0,60
2007,Docklands,Residential Apartment,565000.0,653
2007,East Melbourne,Residential Apartment,420000.0,327
2007,Kensington,Residential Apartment,349000.0,157
2007,Melbourne (CBD),House/Townhouse,,4
2007,Melbourne (CBD),Residential Apartment,350000.0,1725
2007,North Melbourne,House/Townhouse,565000.0,159
2007,Parkville,Residential Apartment,375000.0,91
2007,South Yarra,House/Townhouse,1510000.0,37
2007,Southbank,Residential Apartment,439000.0,1376
2008,Carlton,Residential Apartment,355000.0,211
2008,East Melbourne,Residential Apartment,402500.0,178
2008,Kensington,Residential Apartment,362500.0,169
2008,Melbourne (CBD),Residential Apartment,378000.0,1879
